Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,BCIConfidence,InputNumber,BCIThresholdBuffer,TrialGoal
Rest,2021-08-17 12:55:36.8232,9487,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7593,6,(0.759 0.757 0.798 0.798 0.781 0.797 0.794 0.777 ),NULL
InputWindowChange,2021-08-17 12:55:51.8128,10146,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Open,5,0.0000,4.3303,Running,4.1074,30,0.0000,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-17 12:55:52.1354,10159,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8167,7,(0.759 0.817 0.798 0.798 0.781 0.797 0.794 0.777 ),NULL
Rest,2021-08-17 12:55:52.1565,10160,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8121,7,(0.759 0.817 0.798 0.798 0.781 0.797 0.794 0.777 ),NULL
InputWindowChange,2021-08-17 12:56:07.1535,10836,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Open,5,0.0000,4.6569,Running,2.5354,30,0.0000,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:56:08.5271,10898,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Closed,5,0.0247,0.0000,Running,2.5354,30,0.0000,0,0.0000,0,0.1667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:56:08.5329,10898,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Closed,5,0.0247,0.0000,Running,2.5354,30,0.0000,0,0.0000,0,0.2000,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
InputWindowChange,2021-08-17 12:56:23.5164,11549,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Open,6,0.0000,0.0000,Running,1.7103,30,0.0000,0,0.0000,0,0.2000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:56:29.5160,11811,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Closed,6,0.0032,0.0000,Running,1.7103,30,0.0000,0,0.0000,0,0.2000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:56:29.5170,11811,9cf03bc32ea7bae92fd875efb6d9cc09,anonymous,NULL,Closed,6,0.0032,0.0000,Running,1.7103,30,0.0000,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,RejInput,NULL,NULL,NULL,AccInput
