Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal,BCIConfidence,InputNumber,BCIThresholdBuffer
GameDecision,2021-08-17 12:38:49.0365,8546,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,6,0.0181,0.0000,Running,1.8976,30,0.0000,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:39:04.0289,9177,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,7,0.0000,0.0000,Running,2.0655,30,0.0000,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:39:10.0318,9422,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,7,0.0083,0.0000,Running,2.0655,30,0.0000,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:39:10.0334,9422,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,7,0.0083,0.0000,Running,2.0655,30,0.0000,0,0.0000,0,0.2667,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:39:25.0324,10033,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,8,0.0000,0.0000,Running,4.8517,30,0.0000,0,0.0000,0,0.2667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:39:31.0463,10283,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,8,0.0126,0.0000,Running,4.8517,30,0.0000,0,0.0000,0,0.2667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:39:31.0554,10283,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,8,0.0126,0.0000,Running,4.8517,30,0.0000,0,0.0000,0,0.3000,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:39:46.0501,10916,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,9,0.0000,0.0000,Running,1.7055,30,0.0000,0,0.0000,0,0.3000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:39:52.0652,11168,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,9,0.0216,0.0000,Running,1.7055,30,0.0000,0,0.0000,0,0.3000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:39:52.0666,11168,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,9,0.0216,0.0000,Running,1.7055,30,0.0000,0,0.0000,0,0.3333,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:40:07.0659,11768,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,10,0.0000,0.0000,Running,2.6038,30,0.0000,0,0.0000,0,0.3333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:40:13.0740,12021,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,10,0.0032,0.0000,Running,2.6038,30,0.0000,0,0.0000,0,0.3333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:40:13.0809,12021,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,10,0.0032,0.0000,Running,2.6038,30,0.0000,0,0.0000,0,0.3667,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:40:28.0755,12638,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,11,0.0000,0.0000,Running,2.2154,30,0.0000,0,0.0000,0,0.3667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:40:34.1020,12850,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,11,0.0245,0.0000,Running,2.2154,30,0.0000,0,0.0000,0,0.3667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:40:34.1045,12850,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,11,0.0245,0.0000,Running,2.2154,30,0.0000,0,0.0000,0,0.4000,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:40:49.0943,13393,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,12,0.0000,0.0000,Running,4.0652,30,0.0000,0,0.0000,0,0.4000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:40:55.1079,13607,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,12,0.0137,0.0000,Running,4.0652,30,0.0000,0,0.0000,0,0.4000,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-17 12:40:55.1109,13607,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Closed,12,0.0137,0.0000,Running,4.0652,30,0.0000,0,0.0000,0,0.4333,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-17 12:41:10.1230,14175,6d6845aed075c25f0092843e47a87cac,anonymous,NULL,Open,13,0.0000,0.0000,Running,4.3911,30,0.0000,0,0.0000,0,0.4333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-17 12:41:13.5756,14318,6d6845aed075c25f0092843e47a87cac,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8172,3,(0.752 0.747 0.757 0.767 0.800 0.807 0.821 0.817 )
Rest,2021-08-17 12:41:13.6016,14319,6d6845aed075c25f0092843e47a87cac,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7870,3,(0.752 0.747 0.757 0.767 0.800 0.807 0.821 0.817 )
