Event,Timestamp,Framecount,SessionID,Email,BCIState,InputWindow,InputWindowOrder,InterTrialTimer,InputWindowTimer,GameState,CurrentFabAlarm,AccInputTrialsLeft,AccInputRate,FabInputTrialsLeft,FabInputRate,RejInputTrialsLeft,RejInputRate,AssistSuccessTrialsLeft,AssistSuccessRate,AssistFailTrialsLeft,AssistFailRate,ExplicitShamTrialsLeft,ExplicitShamRate,TrialResult,TrialGoal,BCIConfidence,InputNumber,BCIThresholdBuffer
MotorImagery,2021-08-16 15:42:35.1059,10940,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8117,5,(0.727 0.763 0.800 0.831 0.826 0.827 0.814 0.812 )
Rest,2021-08-16 15:42:35.1266,10941,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8214,5,(0.727 0.763 0.800 0.831 0.826 0.827 0.814 0.812 )
InputWindowChange,2021-08-16 15:42:50.1043,11629,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,7,0.0000,5.4792,Running,1.1865,30,0.0000,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:42:50.6389,11654,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,7,0.0091,0.0000,Running,1.1865,30,0.0000,0,0.0000,0,0.2333,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
GameDecision,2021-08-16 15:42:50.6399,11654,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Closed,7,0.0091,0.0000,Running,1.1865,30,0.0000,0,0.0000,0,0.2667,0,0.0000,0,0.0000,0,0.0000,RejInput,AccInput,NULL,NULL,NULL
InputWindowChange,2021-08-16 15:43:05.6350,12346,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,8,0.0000,0.0000,Running,1.7392,30,0.0000,0,0.0000,0,0.2667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 15:43:09.1080,12506,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8269,6,(0.715 0.742 0.765 0.781 0.810 0.828 0.827 0.827 )
Rest,2021-08-16 15:43:09.1348,12507,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.7876,6,(0.715 0.742 0.765 0.781 0.810 0.828 0.827 0.827 )
InputWindowChange,2021-08-16 15:43:24.1114,13193,ef322d9d32eccd32d55467c642cbbaf4,anonymous,NULL,Open,8,0.0000,3.4694,Running,1.3418,30,0.0000,0,0.0000,0,0.2667,0,0.0000,0,0.0000,0,0.0000,NA,NULL,NULL,NULL,NULL
MotorImagery,2021-08-16 15:43:25.4707,13256,ef322d9d32eccd32d55467c642cbbaf4,anonymous,ReceivingData,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8605,7,(0.748 0.793 0.800 0.856 0.848 0.854 0.861 0.717 )
